EFID_31_03_00_00
ID,UT,PC,FN,Name
0,0,0,50,Bonfire flag - 篝火フラグ
50,0,0,50,Initialization flag - 初期化用フラグ
100,0,0,100,System flag - システムフラグ
2100,0,0,100,System flag - システムフラグ
200,0,0,300,Character flag (do not reset) - キャラフラグ（リセットしない）
1200,0,0,300,Character flag (do not reset) - キャラフラグ（リセットしない）
2200,0,0,300,Character flag (reset) - キャラフラグ（リセットする）
500,0,0,200,Object flag (does not reset) - オブジェフラグ（リセットしない）
1500,0,0,200,Object flag (does not reset) - オブジェフラグ（リセットしない）
2500,0,0,200,Object flag (reset) - オブジェフラグ（リセットする）
8500,0,0,200,Object act flag - オブジェアクトフラグ
700,0,0,100,Conversation flag - 会話フラグ
2700,0,0,100,Conversation flag - 会話フラグ
800,0,0,100,Boss flag (do not reset) - ボスフラグ（リセットしない）
2800,0,0,100,Boss flag (reset) - ボスフラグ（リセットする）
900,0,0,100,For debugging / testing - デバッグ/テスト用
2900,0,0,100,For debugging / testing - デバッグ/テスト用
0,1,0,1,param Dummy for initial output. Please delete it when you add a formal parameter. - param初回出力用ダミー。正式なパラメータ追加する時に消してください。
EFID_32_05_00_00
ID,UT,PC,FN,Name
0,0,0,50,Bonfire flag - 篝火フラグ
50,0,0,50,Initialization flag - 初期化用フラグ
100,0,0,100,System flag - システムフラグ
2100,0,0,100,System flag - システムフラグ
200,0,0,300,Character flag (do not reset) - キャラフラグ（リセットしない）
1200,0,0,300,Character flag (do not reset) - キャラフラグ（リセットしない）
2200,0,0,300,Character flag (reset) - キャラフラグ（リセットする）
500,0,0,200,Object flag (does not reset) - オブジェフラグ（リセットしない）
1500,0,0,200,Object flag (does not reset) - オブジェフラグ（リセットしない）
2500,0,0,200,Object flag (reset) - オブジェフラグ（リセットする）
8500,0,0,200,Object act flag - オブジェアクトフラグ
700,0,0,100,Conversation flag - 会話フラグ
2700,0,0,100,Conversation flag - 会話フラグ
800,0,0,100,Boss flag (do not reset) - ボスフラグ（リセットしない）
2800,0,0,100,Boss flag (reset) - ボスフラグ（リセットする）
900,0,0,100,For debugging / testing - デバッグ/テスト用
2900,0,0,100,For debugging / testing - デバッグ/テスト用
