0 デフォルト
109 固定聖杯【レベル1】 A：トゥメル
209 固定聖杯【レベル2】 A：トゥメル
219 固定聖杯【レベル2】 B：僻墓
309 固定聖杯【レベル3】 A：トゥメル
319 固定聖杯【レベル3】 B：僻墓
409 固定聖杯【レベル4】 A：トゥメル_呪い
429 固定聖杯【レベル4】 C：ローラン
509 固定聖杯【レベル5】 A：トゥメル
529 固定聖杯【レベル5】 C：ローラン
539 固定聖杯【レベル5】 D：イズ
629 固定聖杯【レベル6】 C：ローラン
639 固定聖杯【レベル6】 D：イズ
809 固定聖杯【レベル8】 A：トゥメル
1809 固定聖杯【レベル8】 A：トゥメル_追加素材
10000 自動生成聖杯【レベル1】 A：トゥメル
20000 自動生成聖杯【レベル2】 A：トゥメル
20010 自動生成聖杯【レベル2】 A：トゥメル：敵強化
21000 自動生成聖杯【レベル2】 B：僻墓
21010 自動生成聖杯【レベル2】 B：僻墓：敵強化
30000 自動生成聖杯【レベル3】 A：トゥメル
30010 自動生成聖杯【レベル3】 A：トゥメル：敵強化
30020 自動生成聖杯【レベル3】 A：トゥメル：特殊強敵
30200 自動生成聖杯【レベル3】 A：トゥメル_マルチ
30240 自動生成聖杯【レベル3】 A：トゥメル_マルチ：敵対マルチ
31000 自動生成聖杯【レベル3】 B：僻墓
31010 自動生成聖杯【レベル3】 B：僻墓：敵強化
31020 自動生成聖杯【レベル3】 B：僻墓：特殊強敵
31200 自動生成聖杯【レベル3】 B：僻墓_マルチ
31240 自動生成聖杯【レベル3】 B：僻墓_マルチ：敵対マルチ
40100 自動生成聖杯【レベル4】 A：トゥメル_呪い
40110 自動生成聖杯【レベル4】 A：トゥメル_呪い：敵強化
40120 自動生成聖杯【レベル4】 A：トゥメル_呪い：特殊強敵
40170 自動生成聖杯【レベル4】 A：トゥメル_呪い：呪い
42000 自動生成聖杯【レベル4】 C：ローラン
42010 自動生成聖杯【レベル4】 C：ローラン：敵強化
42020 自動生成聖杯【レベル4】 C：ローラン：特殊強敵
