File,Param,Index,Name,Machine Translated
m00_10_00_00,Point,0,Env_Point500,Env_Point500
m00_10_00_00,Point,1,【キャットウォーク足元霧】_800073_1001,[Fog under the catwalk]_800073_1001
m00_10_00_00,Point,2,【キャットウォーク足元霧】_800073_1002,[Fog under the catwalk]_800073_1002
m00_10_00_00,Point,3,【キャットウォーク足元霧】_800073_1003,[Fog under the catwalk]_800073_1003
m00_10_00_00,Point,4,【キャットウォーク足元霧】_800073_1004,[Fog under the catwalk]_800073_1004
m00_10_00_00,Point,5,【キャットウォーク足元霧】_800073_1005,[Fog under the catwalk]_800073_1005
m00_10_00_00,Point,6,【キャットウォーク足元霧】_800073_1006,[Fog under the catwalk]_800073_1006
m00_10_00_00,Point,7,【キャットウォーク足元霧】_800073_1007,[Fog under the catwalk]_800073_1007
m00_10_00_00,Point,8,【キャットウォーク足元霧】_800073_1008,[Catwalk foot fog]_800073_1008
m00_10_00_00,Point,9,【キャットウォーク足元霧】_800076_1001,[Fog under the catwalk]_800076_1001
m00_10_00_00,Point,10,【キャットウォーク足元霧】_800076_1002,[Fog under the catwalk]_800076_1002
m00_10_00_00,Point,11,【キャットウォーク足元霧】_800076_1003,[Fog under the catwalk]_800076_1003
m00_10_00_00,Point,12,【キャットウォーク足元霧】_800076_1004,[Catwalk foot fog]_800076_1004
m00_10_00_00,Point,13,【キャットウォーク足元霧】_800076_1005,[Fog under the catwalk]_800076_1005
m00_10_00_00,Point,14,【塵カメラ前】_800077_1001,[In front of dust camera]_800077_1001
m00_10_00_00,Point,15,【塵配置用】_800074_1001,[For dust placement]_800074_1001
m00_10_00_00,Point,16,【吹き出す蒸気】_800071_1001,[Steam blowing out]_800071_1001
m00_10_00_00,Point,17,【吹き出す蒸気】_800071_1003,[Steam blowing out]_800071_1003
m00_10_00_00,Point,18,【足元の霧】_800070_1002,[Fog under your feet]_800070_1002
m00_10_00_00,Point,19,【足元の霧】_800070_1003,[Fog under your feet]_800070_1003
m00_10_00_00,Point,20,【足元の霧】_800070_1005,[Fog at your feet]_800070_1005
m00_10_00_00,Point,21,【足元の霧】_800070_1006,[Fog under your feet]_800070_1006
m00_10_00_00,Point,22,Env_Box500,Env_Box500
m00_10_00_00,Point,23,サウンド,sound
m00_10_00_00,Point,24,カメラルート_AC_0,Camera route_AC_0
m00_10_00_00,Point,25,カメラルート_AC_1,Camera route_AC_1
m00_10_00_00,Point,26,カメラルート_AC_2,Camera route_AC_2
m00_10_00_00,Point,27,カメラルート_AC_3,Camera route_AC_3
m00_10_00_00,Point,28,カメラルート_ARENA_0,Camera route_ARENA_0
m00_10_00_00,Point,29,カメラルート_ARENA_1,Camera route_ARENA_1
m00_10_00_00,Point,30,カメラルート_ARENA_2,Camera route_ARENA_2
m00_10_00_00,Point,31,カメラルート_MISSION_0,Camera route_MISSION_0
m00_10_00_00,Point,32,カメラルート_MISSION_1,Camera route_MISSION_1
m00_10_00_00,Point,33,カメラルート_MISSION_2,Camera route_MISSION_2
m00_10_00_00,Point,34,カメラルート_SYSTEM_0,Camera route_SYSTEM_0
m00_10_00_00,Point,35,カメラルート_SYSTEM_1,Camera route_SYSTEM_1
m00_10_00_00,Point,36,カメラルート_SYSTEM_2,Camera route_SYSTEM_2
m00_10_00_00,Point,37,カメラルート_TOP_0,Camera route_TOP_0
m00_10_00_00,Point,38,カメラルート_TOP_1,Camera route_TOP_1
m00_10_00_00,Point,39,カメラルート_TOP_2,Camera route_TOP_2
m00_10_00_00,Part,0,ミッション制御用ダミーキャラ,Dummy character for mission control
m00_10_00_00,Part,1,初期位置,initial position
m00_12_00_00,Part,0,制御用ダミーキャラ,Control dummy character
m00_90_00_00,Point,0,Env_Point100,Env_Point100
m00_90_00_00,Point,1,Env_Point101,Env_Point101
m00_90_00_00,Point,2,Env_Point102,Env_Point102
m00_90_00_00,Point,3,Env_Point103,Env_Point103
